service_code,service_name,department,documents_required,application_method,service_charge,user_manual,official_source
REV-101,Community Certificate,Revenue,Photo; Address Proof; Community Certificate of Father or Community Certificate of Mother or Community Certificate of Siblings; Self Declaration of Applicant,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
REV-103,Income Certificate,Revenue,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
REV-104,First Graduate Certificate,Revenue,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
REV-109,Widow Certificate,Revenue,Photo; Address Proof; Death Certificate of Husband; Marriage Registration certificate or any other documents to prove marriage; Self Declaration of Applicant,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
REV-115,Other Backward Class (OBC) Certificate,Revenue,Photo; Proof of Marriage; Proof of Residence; Proof of Desertion or FIR Details; Self Declaration of Applicant,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
REV-116,Residence Certificate,Revenue,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
REV-201,Indira Gandhi National Old Age Pension Scheme (IGNOPS),Revenue,Not specified in the official sources reviewed,e-Sevai Centre,₹ 10,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
REV-206,Differently Abled Pension Scheme(DAPS),Revenue,Not specified in the official sources reviewed,e-Sevai Centre,₹ 10,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
TEB-601,Electricity Bill Payment,TANGEDCO,Not specified in the official sources reviewed,e-Sevai Centre,"₹15 up to ₹1,000; ₹25 for ₹1,001–₹3,000; ₹40 for ₹3,001–₹5,000; ₹50 for ₹5,001–₹10,000; ₹60 for ₹10,001 and above",https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
CSC-024,PDS Aadhaar Enrollment,TNEGA,Not specified in the official sources reviewed,e-Sevai Centre,₹ 15,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
PDS-501,Apply for New Card,Civil Supplies and Consumer Protection,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
PDS-502,Card Mutation,Civil Supplies and Consumer Protection,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
PDS-504,Printing of Smart Card,Civil Supplies and Consumer Protection,Not specified in the official sources reviewed,e-Sevai Centre,₹ 60,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx
DPH-101,CRS-Death Registration,Directorate of Public Health,Not specified in the official sources reviewed,e-Sevai Centre,₹ 100,https://tnesevai.tn.gov.in/Pages/UserManual.aspx,https://tnesevai.tn.gov.in/Pages/EsevaiServiceList.aspx; https://www.tnesevai.tn.gov.in/Pages/UserManual.aspx
