section,field,value,official_source
CAN,what_is_CAN,CAN is Citizen Access Number required to avail all e-Sevai services offered by various departments through TNeGA.,https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
CAN,how_to_create_CAN,The official FAQ states that CAN is required for e-Sevai services and the official e-Sevai portal provides CAN registration/access.,https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
CAN,CAN_validity,CAN is valid for lifetime.,https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
CAN,forgotten_CAN,"Search using Mobile number, date of Birth, Name, or Email id.",https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
CAN,official_source,https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx,https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
login_registration,registration,Register as a New User in the e-Sevai Citizen Portal.,https://tnesevai.tn.gov.in/Citizen/Registration.aspx
login_registration,login,Use the registered login credentials in Citizen Login.,https://tnesevai.tn.gov.in/Citizen/Registration.aspx
login_registration,required_details,Full Name; District; Taluk; Mobile Number; Email Id; Aadhar No; Login Id; Password; Confirm Password; Captcha,https://tnesevai.tn.gov.in/Citizen/Registration.aspx
login_registration,official_source,https://tnesevai.tn.gov.in/Citizen/Registration.aspx,https://tnesevai.tn.gov.in/Citizen/Registration.aspx
application_status,how_to_check_status,"After logging in, go to the Check Status tab and enter the application number.",https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
application_status,required_information,Application number,https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
application_status,official_source,https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx,https://www.tnesevai.tn.gov.in/citizen/Pages/FAQ.aspx
grievances_complaints,how_to_submit,Use the official e-Sevai Grievances/Complaints page.,https://www.tnesevai.tn.gov.in/citizen/Pages/Complaints.aspx
grievances_complaints,official_source,https://www.tnesevai.tn.gov.in/citizen/Pages/Complaints.aspx,https://www.tnesevai.tn.gov.in/citizen/Pages/Complaints.aspx
helpdesk,email,tnesevaihelpdesk@tn.gov.in,https://www.tnesevai.tn.gov.in/citizen/
helpdesk,phone,18004256000,https://www.tnesevai.tn.gov.in/citizen/
helpdesk,official_source,https://www.tnesevai.tn.gov.in/citizen/,https://www.tnesevai.tn.gov.in/citizen/
